id,hinban,item,description,remarks,unit,uprice,ouritem,vol,zaiko,kento,hcode,cat
3279,"TF943B-07 SN/02","TF943B-20R SN/02","腰クッションなし DB脚同梱","別製品",pcs,239.8,"",1.06,0,0,"",""
3280,"TF943B-07 SN/03","TF943B-20R SN/03","","腰クッションなし / 脚 DB 同梱",pcs,239.8,"",1.06,0,0,"",""
3281,"TF943B-07 SN/03","TF943B-20R CHILI25","(腰クッション×2込み)","",pcs,"","","",0,0,"",""
3282,"TF943B-07 SO/13","TF943B-07 SO/13","TF943B-20R SO/13","(腰クッション×2込み)",pcs,"","",1.06,0,0,"",""
3283,"TF943B-07 SO/13","TF943B-07 SO/13","TF943B-20R SO/13","腰クッションなし",pcs,"","",1.06,0,0,"",""
3284,"TF943B-07 SP/195","TF943B-20R SP/195","TF943B-20R SP/195","別製品 腰クッションなし DB脚同梱",pcs,239.8,"TF943B-07 SP/195",1.06,0,0,"",""
3285,"TF943B-07 SP/209","TF943B-07 SP/209","","別製品 腰クッションなし DB脚同梱",pcs,"","","",0,0,"",""
3286,"TF943B-07 SP/209","TF943B-07 SP/209","","別製品 腰クッションなし DB脚同梱",pcs,"確認中","TF943B-07 SP/209",1.06,0,0,"",""
3287,TF943B-07B,TF943B-07B,"TF943B-20R ボディヌードのみ","腰クッションなし",pcs,167.7,"",1.06,0,0,"",""
3288,"TF943B-07C S0/13","TF943B-07C S0/13","only cover","TF943B-20Rカバー S0/13",set,"","","",0,0,"",""
3289,"TF943B-17 CHILI17","TF943B-17 CHILI17","腰クッション無し 脚色=DB","",pcs,"","","",0,0,"",""
3290,"TF943B-17 CHILI25","TF943B-17 CHILI25","腰クッション無し 脚色=DB","",pcs,"","","",0,0,"",""
3291,"TF943B-17 SN/01","TF943B-0.5P SN/01","","腰クッションなし",pcs,71.6,"",0.11,0,0,"",""
3292,"TF943B-17 SN/02","TF943B-0.5P SN/02","","腰クッションなし",pcs,71.6,"",0.11,0,0,"",""
3293,"TF943B-17 SN/03","TF943B-0.5P SN/03","","腰クッションなし",pcs,71.6,"",0.11,0,0,"",""
3294,"TF943B-17 SO/13","TF943B-17 SO/13","TF943B-0.5P SO/13","",pcs,"","",0.11,0,0,"",""
3295,"TF943B-17C S0/13","TF943B-17C S0/13","only cover","TF943B-0.5Pカバー S0/13",set,"","","",0,0,"",""
3296,"TF943B-17C SN/02","TF943B-17C SN/02","only cover","別製品",set,"","","",0,0,"",""
3297,"TF943B-17C SP/190","TF943B-17C SP/190","only cover","別製品",set,"確認中","","",0,0,"",""
3298,"TF943B-17用 DB脚","TF943B-0.5P用 DB脚","No commercial value","ひび割れ、クレーム交換分",pcs,"","","",0,0,"",""
3299,"TF943B-3P SP/192","TF943B-3P SP/192","","別製品 腰クッションなし DB脚同梱 布地 ラルク(ベージュ)","","確認中","TF943B-03 SP/192",1.0,0,0,"",""
3300,"TF943B-3P SP/192","TF943B-3P SP/192","","別製品 腰クッションなし DB脚同梱 布地 ラルク(ベージュ)",pcs,"","","",0,0,"",""
3305,"TF943B-49 DB SP/184","TF943B-11L SP/184","腰クッションなし DB脚同梱","別製品",set,222.2,"",0.97,0,0,"",""
3306,"TF943B-49 SN/01","TF943B-11L SN/01","","腰クッションなし",pcs,222.2,"",0.97,0,0,"",""
3307,"TF943B-49 SN/01","TF943B-49 SN/01 ","腰クッション×1・脚色 DB","",pcs,222.2,"",0.97,0,0,"",""
3308,"TF943B-49 SN/01","TF943B-49 SN/01","TF943B-11L SN/01 (布地 CHILI01)","腰クッションなし",pcs,222.2,"",0.97,0,0,"",""
3309,"TF943B-49 SN/02","TF943B-11L CHILI17","(腰クッション×1込み)","",pcs,"","","",0,0,"",""
3310,"TF943B-49 SN/02","TF943B-11L SN/02","腰クッションなし DB脚同梱","別製品",pcs,222.2,"",0.97,0,0,"",""
3311,"TF943B-49 SN/03","TF943B-11L CHILI25","(腰クッション×1込み)","",pcs,"","","",0,0,"",""
3312,"TF943B-49 SN/03","TF943B-11L SN/03","腰クッションなし / 脚 DB 同梱","別製品",pcs,222.2,"",0.97,0,0,"",""
3313,"TF943B-49 SO/13","TF943B-49 SO/13","TF943B-11L SO/13","(腰クッション×1込み)",pcs,"","",0.97,0,0,"",""
3314,"TF943B-49 SO/13","TF943B-49 SO/13","TF943B-11L SO/13","腰クッションなし",pcs,"","",0.97,0,0,"",""
3315,"TF943B-49 SP/195","TF943B-11L SP/195","TF943B-11L SP/195","別製品 腰クッションなし DB脚同梱",pcs,222.2,"TF943B-49 SP/195",0.97,0,0,"",""
3316,"TF943B-49 SP/209","TF943B-49 SP/209","","別製品 腰クッションなし DB脚同梱",pcs,"","","",0,0,"",""
3317,"TF943B-49 SP/209","TF943B-49 SP/209","","別製品 腰クッションなし DB脚同梱",pcs,"確認中","TF943B-49 SP/209",0.97,0,0,"",""
