code,piece,fab,address
CH232WI,03C,SN/02,B-‚¤-3
CH271,35C,SN/03,C-‚ -3
CH271,35C,SP/180,C-‚¤-1
CH271,37C,SP/183,C-‚¦-3
CH271I,50C,SP/183,D-‚ -1
CH271I,50C,SP/183,F-‚ -3
